ticker|R1|R3|R5|R10
AIECX|6.41|5.43|13.25|7.53
AIERX|7.99|5.96|13.83|8.06
AIEVX|8.59|6.63|14.56|8.81
IGFRX|8.67|6.41|14.23|8.39
AIIYX|8.51|6.49|14.40|8.48
IBVAX|-2.41|-1.43|8.66|3.71
IBVBX|-2.52|-1.23|8.83|3.54
IBVCX|1.45|-0.30|9.10|3.53
IIBRX|3.00|0.23|9.64|4.06
IBVFX|3.86|0.68|10.08|4.38
IBVYX|3.48|0.70|10.18|4.44
IBVIX|3.74|1.08|10.59|4.91
IIBCX|3.22|0.44|9.92|4.30
IZSAX|14.52|||
IZSCX|19.32|||
IZSRX|20.86|||
IZSIX|21.56|||
IZFSX|21.47|||
IZSYX|21.56|||
ABRZX|-4.99|5.84||
ABRBX|-4.88|6.13||
ABRCX|-1.19|7.05||
ABRRX|0.22|7.57||
ABRIX|0.77|8.11||
ALLFX|0.85|8.01||
ABRYX|0.77|8.13||
AACFX|-3.63|-2.63|14.83|
ABCFX|-3.81|-2.51|15.06|
CACFX|0.24|-1.52|15.30|
IACFX|2.39|-0.32|16.72|
AMCYX|2.23|-0.53|16.44|
GTDDX|-15.88|-1.42|16.83|11.43
GTDBX|-16.04|-1.27|17.07|11.26
GTDCX|-12.53|-0.29|17.27|11.26
GTDIX|-10.67|0.87|18.65|12.47
GTDFX|-10.61|0.65|18.29|12.13
GTDYX|-10.76|0.72|18.45|12.20
IEMAX|-18.71|||
IEMCX|-15.50|||
IEMRX|-14.24|||
IEMIX|-13.86|||
EMEFX|-13.84|||
IEMYX|-13.86|||
IAEMX|-18.22|-2.36||
IBEMX|-19.34|-2.52||
ICEMX|-16.05|-1.65||
IREMX|-14.91|-1.19||
IIEMX|-14.39|-0.69||
IFEMX|-14.39|-0.83||
IYEMX|-14.38|-0.69||
GGHCX|27.54|19.26|18.44|8.28
GTHBX|28.99|19.93|18.71|8.11
GTHCX|32.95|20.62|18.90|8.11
GGHYX|35.32|21.85|20.10|9.04
GTHIX|34.96|21.54|19.79|8.90
AUBAX|-3.37|1.54|4.08|
AUBBX|-4.72|1.29|3.87|
